Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Restaurante Beco,"Estação Central (Metrô de Belo Horizonte) R. Tamoios, 232 Centro",Minas Gerais,Belo Horizonte,Brasil,30120-050,2090,4.0,4.3,3.7,4.2,4.0,#157 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3272-1489,Brasileira,Seg: 11:00-22:30; Ter: 11:00-22:30; Qua: 11:00-22:30; Qui: 11:00-22:30; Sex: 11:00-22:30; Sáb: 11:00-22:30; Dom: Fechado,54.00,54.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Villeon Restaurant,"Estação Lagoinha Rua Luiz Soares da Rocha, Belo Horizonte",Brasil,Minas Gerais,30380-600,Sem Informação,26,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,5.0,#158 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 2520-9394,"Francesa, Italiana",Seg: Fechado; Ter: Fechado; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 19:00-00:00; Dom: 12:00-16:00,270.00,270.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
D'Artagnan,"Rua Tomás Gonzaga, 607 Lourdes",Minas Gerais,Belo Horizonte,Brasil,30180-143,1554,4.3,4.5,4.3,4.4,4.0,#160 de 18306 restaurantes em Belo Horizonte,dartagnanbistro.com.br,@dartagnanbistro,+55 31 3295-7878,"Francesa, Europeia, Internacional, Contemporânea, Opções vegetarianas",Seg: Fechado; Ter: 19:00-00:00; Qua: 12:00-16:00 19:00-00:00; Qui: 12:00-16:00 19:00-00:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-17:00,140.00 À 270.00,205.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Meu Bhar Sion,"Rua Pium-Í, 620",Minas Gerais,Belo Horizonte,Brasil,30310-080,3313,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#161 de 18306 restaurantes em Belo Horizonte,Sem Informação,@meubharsion,+55 31 98706-6136,Não especificado,Seg: Fechado; Ter: 17:00-01:00; Qua: 17:00-01:00; Qui: 17:00-01:00; Sex: 17:00-01:30; Sáb: 12:00-01:30; Dom: 12:00-22:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Mercado Da Boca Savassi,"Rua Levindo Lopes, 124",Belo Horizonte,Funcionários - Savassi,Minas Gerais,Brasil,2239,4.0,4.4,Sem Avaliação,Sem Avaliação,3.5,#162 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98808-6388,"Brasileira, Sul Americana",Seg: 11:30-00:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-22:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Badejo,"Rua Rio Grande do Norte, 836 Savassi",Minas Gerais,Belo Horizonte,Brasil,30150-350,1822,3.6,3.9,3.5,3.5,3.5,#163 de 18306 restaurantes em Belo Horizonte,restaurantebadejo.com.br,@restaurantebadejo,+55 31 3656-3618,Frutos do mar,Seg: 12:00-22:00; Ter: 12:00-22:00; Qua: 12:00-22:00; Qui: 12:00-22:00; Sex: 12:00-22:00; Sáb: 12:00-22:00; Dom: 12:00-20:00,140.00 À 270.00,205.0,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante e Pizzaria em Floresta BH - Giovanni Petisqueira,"Estação Central (Metrô de Belo Horizonte) Av. Do Contorno, 1790 Floresta",Minas Gerais,Belo Horizonte,Brasil,30110-008,2564,3.6,4.3,3.4,Sem Avaliação,4.0,#164 de 18306 restaurantes em Belo Horizonte,giovannipizzaria.com.br,@giovannipizzaria,+55 31 3222-8787,"Pizza, Italiana",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-00:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Varanda 1389 Lourdes,"Estação Carlos Prates Av. Álvares Cabral, 1389",Minas Gerais,Belo Horizonte,Brasil,30170-002,2600,3.7,4.2,3.6,3.5,3.5,#168 de 18306 restaurantes em Belo Horizonte,Sem Informação,@varanda1389,+55 31 2555-1389,"Japonesa, Opções vegetarianas",Seg: 11:00-15:00; Ter: 11:00-23:30; Qua: 11:00-23:30; Qui: 11:00-00:30; Sex: 11:00-00:30; Sáb: 11:00-00:30; Dom: 11:00-16:00,140.00 À 280.00,210.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Kei,"Rua Bárbara Heliodora, 54 Lourdes",Minas Gerais,Belo Horizonte,Brasil,30180-130,587,4.2,Sem Avaliação,4.0,Sem Avaliação,4.5,#170 de 18306 restaurantes em Belo Horizonte,keicozinhajaponesa.com.br,Sem Informação,+55 31 3337-4000,"Japonesa, Asiática, Sushi, Opções vegetarianas",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-01:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 13:00-01:00; Dom: 13:00-00:00,280.00,280.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Pátria Cozinha do Brasil,"Estação Lagoinha Avenida Celso Porfírio Machado, 1520",Belo Horizonte,Belvedere,Minas Gerais,Brasil,240,4.5,4.4,Sem Avaliação,Sem Avaliação,4.5,#171 de 18306 restaurantes em Belo Horizonte,Sem Informação,@patriacozinhadobrasil,+55 31 98421-8664,"Brasileira, Opções vegetarianas",Seg: Fechado; Ter: 12:00-00:00; Qua: 12:00-00:00; Qui: 12:00-00:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-17:00,54.00 À 140.00,97.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Mesa do Sábio,"Estação Gameleira R. Campos Sales, 665",Minas Gerais,Belo Horizonte,Brasil,30421-031,577,4.7,4.7,Sem Avaliação,5.0,4.5,#172 de 18306 restaurantes em Belo Horizonte,facebook.com,@mesa.do.sabio.veg,+55 31 3371-3941,"Asiática, Vegetariana",Seg: 11:30-14:30; Ter: 11:30-14:30; Qua: 11:30-14:30; Qui: 11:30-14:30; Sex: 11:30-14:30; Sáb: 11:30-14:30; Dom: Fechado,54.00,54.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Top Burger Garage,"Estação São Gabriel R. Altamira, 98",Minas Gerais,Belo Horizonte,Brasil,31910-630,47,5.0,4.9,Sem Avaliação,5.0,Sem Avaliação,#287 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 99316-7942,"Fast Food, Americana",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-00:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taim burguer,"Estação Waldomiro Lobo R. Monte Silvestre, 40",Minas Gerais,Belo Horizonte,Brasil,31812-140,202,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#288 de 18306 restaurantes em Belo Horizonte,Sem Informação,@taim_burger_,+55 31 99695-4388,Fast Food,Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 19:00-00:00; Sex: 19:00-00:00; Sáb: 19:00-00:00; Dom: 19:00-00:00,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Tonsay Culinária Japonesa,"Estação José Cândido da Silveira R. Onísio, 50",Minas Gerais,Belo Horizonte,Brasil,31170-825,182,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#289 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98676-8216,Sushi,Seg: Fechado; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-23:30,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Salgados Falcão,"R. Urucanga, 51",Minas Gerais,Belo Horizonte,Brasil,30626-720,44,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#48 de 3071 cafeterias em Belo Horizonte,salgados-falcao.goomer.app,Sem Informação,+55 31 99190-4136,Não especificado,Seg: 11:00-21:00; Ter: 11:00-21:00; Qua: 11:00-21:00; Qui: 11:00-22:30; Sex: 11:00-22:30; Sáb: 11:00-22:30; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Bar e Restaurante do Jacaré,"Rua Barão de Coromandel, 512",Minas Gerais,Belo Horizonte,Brasil,30640-060,177,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#291 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3336-4946,Não especificado,Seg: 10:00-14:00; Ter: 10:00-14:00; Qua: 10:00-14:00; Qui: 10:00-14:00; Sex: 10:00-14:00; Sáb: 10:00-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Mimito Maker,"R. dos Geólogos, 525",Minas Gerais,Belo Horizonte,Brasil,30840-000,43,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#292 de 18306 restaurantes em Belo Horizonte,churrascoebrasa.com.br,@mimitomaker,+55 31 99784-5000,Não especificado,Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 10:00-14:00; Sex: Fechado; Sáb: 10:00-14:00; Dom: 10:00-14:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taberna Zocratto,"Rua Dalva de Matos, 117",Minas Gerais,Belo Horizonte,Brasil,31535-300,44,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#293 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Não especificado,Seg: Fechado; Ter: 16:00-00:00; Qua: 16:00-00:00; Qui: 16:00-00:00; Sex: 16:00-00:00; Sáb: 16:00-00:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não
Dona Derna,"R. Tomé de Souza, 1331",Minas Gerais,Belo Horizonte,Brasil,30140-131,1625,4.2,4.5,4.0,4.3,4.0,#54 de 18306 restaurantes em Belo Horizonte,Sem Informação,@donaderna,+55 31 3223-6954,Italiana,Seg: Fechado; Ter: 11:30-17:00; Qua: 11:30-17:00; Qui: 11:30-17:00; Sex: 11:30-23:30; Sáb: 11:30-17:00; Dom: 11:30-17:00,140.00 À 270.00,205,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Sushi Meiyo Culinária Japonesa,"R. Piauí, 1594",Minas Gerais,Belo Horizonte,Brasil,30150-321,42,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#294 de 18306 restaurantes em Belo Horizonte,Sem Informação,@sushimeiyo,+55 31 99238-2186,Chinês,Seg: 18:00-22:00; Ter: 18:00-22:00; Qua: 18:00-22:00; Qui: 18:00-22:00; Sex: 18:00-22:00; Sáb: 18:00-22:00; Dom: 18:00-22:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Kantim 212 Bar e Restaurante,"R. Praia Formosa, 212",Minas Gerais,Belo Horizonte,Brasil,30775-080,66,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#295 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98013-0029,Não especificado,Seg: 18:00-00:00; Ter: 11:00-15:00; Qua: 15:00-17:00 18:00-00:00; Qui: 11:00-15:00 18:00-00:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-20:00,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taverna Ficker - Comida e Bebida Espaço Cultural Medieval,"R. Rio Grande do Sul, 499 - Corredor C3",Minas Gerais,Belo Horizonte,Brasil,30170-110,41,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#296 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 99676-8696,Bar de Coquetéis,Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 17:00-22:00; Sex: 17:00-22:00; Sáb: 12:00-23:00; Dom: 10:00-17:00,Sem Informação,Sem Informação,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Sushi Hub Bh,"R. Carlos Etiene de Castro, 32",Minas Gerais,Belo Horizonte,Brasil,30220-360,41,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#297 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 99275-9461,Japonesa,Seg: Fechado; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-23:30; Sáb: 18:00-23:30; Dom: 18:00-23:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Ni Hao,"Rua Carangola, 358 Sto Antônio",Minas Gerais,Belo Horizonte,Brasil,30330-240,1438,3.7,Sem Avaliação,3.8,4.1,3.5,#298 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3296-7555,"Japonesa, Chinês, Sushi",Seg: 11:30-15:00 19:00-03:00; Ter: 11:30-15:00 19:00-03:00; Qua: 11:30-15:00 19:00-03:00; Qui: 11:30-15:00 19:00-03:00; Sex: 11:30-15:00 19:00-03:00; Sáb: 12:00-16:00 19:00-03:00; Dom: 12:00-16:00 19:00-03:00,54.00 À 140.00,97.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Espeto Santa Amélia,"Av. Guarapari, 844",Minas Gerais,Belo Horizonte,Brasil,31560-300,443,3.8,4.3,3.6,2.3,Sem Avaliação,#299 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3441-1952,"Churrascarias, Brasileira",Seg: 19:00-22:00; Ter: 17:00-22:00; Qua: 18:00-22:00; Qui: 18:00-23:00; Sex: 17:00-00:00; Sáb: 11:00-01:00; Dom: 00:00-01:00 11:00-22:00,54.00 À 140.00,97.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar e restaurante da lora,"Estação São Gabriel Rua volts n 15 Sentido Cristiano Machado, duas lojas depois da padaria três poderes",Minas Gerais,Belo Horizonte,Brasil,31810-000,40,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#300 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98962-7424,Não especificado,Seg: 07:00-23:30; Ter: 07:00-23:30; Qua: 07:00-23:30; Qui: 07:00-23:30; Sex: 07:00-23:30; Sáb: 07:00-23:30; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Quintal Bowls - Poke & Japa,"Estação Central (Metrô de Belo Horizonte) Av. Brasil, 1132",Minas Gerais,Belo Horizonte,Brasil,30140-001,269,4.5,4.5,Sem Avaliação,Sem Avaliação,Sem Avaliação,#301 de 18306 restaurantes em Belo Horizonte,Sem Informação,@quintalbowls,+55 31 99449-8650,Não especificado,Seg: 11:00-22:00; Ter: 11:00-22:00; Qua: 11:00-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-22:00,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Vila Chalezinho,"Alameda Oscar Niemeyer, 132 - loja 5",Minas Gerais,Nova Lima,Brasil,34006-049,490,3.8,4.3,Sem Avaliação,3.9,4.0,#1 de 41 restaurantes italianos em Nova Lima,vilachalezinho.com.br,@vilachalezinho,+55 31 3097-2019,"Europeia, Internacional, Contemporânea, Suíça, Opções vegetarianas",Seg: 18:30-00:00; Ter: 18:30-00:00; Qua: 18:30-00:00; Qui: 18:30-01:00; Sex: 18:30-01:00; Sáb: 18:30-01:00; Dom: Fechado,270.00,270,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Gastrô Hub,"Estação Santa Efigênia Rua Cícero Ferreira, 15",Minas Gerais,Belo Horizonte,Brasil,30220-040,3647,4.6,4.6,Sem Avaliação,4.3,5.0,#1 de 18306 restaurantes em Belo Horizonte,facebook.com,@gastrohub.bh,+55 31 2527-5858,"Chinês, Brasileira, Italiana, Japonesa",Seg: 11:00-15:00 18:00-22:30; Ter: 11:00-15:00 18:00-22:30; Qua: 11:00-15:00 18:00-22:30; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:30-16:00 18:00-23:00; Dom: 11:30-22:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Udon Belvedere,"Avenida Luis Paulo Franco Estrada P/ Nova Lima, 403",Minas Gerais,Belo Horizonte,Brasil,30320-760,1399,4.7,4.6,4.5,Sem Avaliação,5.0,#2 de 18306 restaurantes em Belo Horizonte,udonrestaurante.com.br,@udonbh,+55 31 3324-0052,"Japonesa, Sushi, Opções vegetarianas",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 18:00-01:00; Dom: 18:00-00:00,140.00 À 280.00,210,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Dal Grano Restaurante e Pizzaria,"Av. Pres. Antônio Carlos, 7456",Minas Gerais,Belo Horizonte,Brasil,31270-672,2439,4.5,4.7,Sem Avaliação,3.8,5.0,#3 de 18306 restaurantes em Belo Horizonte,Sem Informação,@dal_grano,+55 31 3505-9240,"Italiana, Pizza, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 06:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 06:00-23:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Kanpai,"Rua Pium -í, 1122",Minas Gerais,Belo Horizonte,Brasil,30310-080,2425,4.7,4.6,4.5,Sem Avaliação,5.0,#4 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3656-4621,"Japonesa, Sushi, Opções vegetarianas",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-00:00; Sáb: 12:00-16:00 18:00-00:00; Dom: 12:00-16:00 18:00-23:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Anella Ristorante,"R Min Guilhermino De Oliveira, 325 Santa Amélia",Minas Gerais,Belo Horizonte,Brasil,31560-100,8186,4.6,4.8,4.7,Sem Avaliação,4.5,#5 de 18306 restaurantes em Belo Horizonte,anella.com.br,@anellaristorante,+55 31 3441-8748,Italiana,Seg: 12:00-15:00 18:00-23:00; Ter: 12:00-15:00 18:00-23:00; Qua: 12:00-15:00 18:00-23:00; Qui: 12:00-15:00 18:00-23:00; Sex: 12:00-16:00 18:00-23:00; Sáb: 12:00-00:00; Dom: 12:00-22:00,72.00 À 100.00,86,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Nuúu Restaurante,"Rua Arturo Toscanini, 41",Belo Horizonte,Savassi,Minas Gerais,Brasil,455,4.6,4.2,Sem Avaliação,Sem Avaliação,5.0,#6 de 18306 restaurantes em Belo Horizonte,nuuurestaurante.com.br,@nuuurestaurante,+55 31 3311-9410,Brasileira,Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Restaurante Caravela,"Avenida Prudente de Morais, 202",Minas Gerais,Belo Horizonte,Brasil,30380-111,2237,4.3,4.5,4.0,4.3,4.5,#7 de 18306 restaurantes em Belo Horizonte,restaurantecaravela.com.br,@caravelabh,+55 31 2531-3101,"Portuguesa, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,75.00 À 160.00,117.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taste-Vin,"Estação Central (Metrô de Belo Horizonte) R. Curitiba, 2105",Minas Gerais,Belo Horizonte,Brasil,30170-122,4621,4.5,4.8,4.3,4.5,4.5,#8 de 18306 restaurantes em Belo Horizonte,tastevinbh.com.br,@restaurante_tastevin,+55 31 3292-5423,"Francesa, Deli, Opções vegetarianas",Seg: 19:00-23:00; Ter: 19:00-23:00; Qua: 19:00-23:30; Qui: 19:00-00:00; Sex: 19:00-00:00; Sáb: 12:30-16:00 19:00-23:30; Dom: Fechado,140.00 À 550.00,345,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Glouton,"Estação Central (Metrô de Belo Horizonte) R. Bárbara Heliodora, 59",Minas Gerais,Belo Horizonte,Brasil,Sem Informação,7758,4.6,4.8,4.5,4.4,4.5,#10 de 18306 restaurantes em Belo Horizonte,glouton.com.br,@gloutonbh,+55 31 3292-4237,"Brasileira, Francesa, Contemporânea, Comida Saudável",Seg: 19:00-23:30; Ter: 19:00-23:30; Qua: 19:00-23:30; Qui: 19:00-23:30; Sex: 19:00-23:30; Sáb: 19:00-23:30; Dom: Fechado,72.00 À 100.00,86,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
Rancho Verde Pampulha,"R. Ismail Viléla Lima, 205",Minas Gerais,Belo Horizonte,Brasil,31370-420,1009,4.4,4.6,4.3,4.4,4.5,#11 de 18306 restaurantes em Belo Horizonte,facebook.com,@ranchoverdepampulha,+55 31 99952-6901,"Brasileira, Sul Americana",Seg: Fechado; Ter: Fechado; Qua: 11:30-16:30; Qui: 11:30-16:30; Sex: 11:30-23:00; Sáb: 11:30-17:00; Dom: 11:30-17:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Beggiato Restaurante,"Estação Calafate Rua Cura D'Ars, 722",Minas Gerais,Belo Horizonte,Brasil,30411-197,1191,4.6,4.6,4.5,4.6,4.5,#12 de 18306 restaurantes em Belo Horizonte,beggiato.com.br,@beggiatorestaurante,+55 31 2555-0722,"Brasileira, Opções vegetarianas",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: 11:30-15:00; Dom: 11:30-15:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Caê Restaurante Bar,"Rua Outono 314, Belo Horizonte",Brasil,Minas Gerais,30310-020,Sem Informação,2574,4.3,4.6,4.0,4.4,4.5,#13 de 18306 restaurantes em Belo Horizonte,caerestaurantebar.com.br,@caerestaurantebar,+55 31 2528-2244,"Brasileira, Bar de Coquetéis",Seg: Fechado; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-17:00,55.00 À 140.00,97.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Namastê,"Estação Carlos Prates Av. Francisco Sá, 440",Minas Gerais,Belo Horizonte,Brasil,30410-060,3029,4.4,4.7,4.4,4.4,4.5,#14 de 18306 restaurantes em Belo Horizonte,restaurantenamaste.com.br,@restaurante_namaste,+55 31 3567-5200,"Indiana, Vegetariana",Seg: 18:30-23:00; Ter: 11:00-15:00 18:30-23:00; Qua: 11:00-15:00 18:30-23:00; Qui: 11:00-15:00 18:30-23:00; Sex: 11:00-15:00 18:30-23:00; Sáb: 11:30-16:00 18:30-23:00; Dom: 11:30-16:00 18:30-23:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Alguidares Bar e Restaurante Ltda,"Rua Pium-í, 1037 Anchieta",Minas Gerais,Belo Horizonte,Brasil,30310-080,1692,4.4,4.6,4.5,4.5,4.5,#15 de 18306 restaurantes em Belo Horizonte,alguidares.com.br,@alguidares,+55 31 3221-8877,"Brasileira, Frutos do mar",Seg: Fechado; Ter: 12:00-15:00 18:30-23:00; Qua: 12:00-15:00 18:30-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-18:00,140.00 À 400.00,270,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Quinto do Ouro,"Estação Minas Shopping Av. Cristiano Machado, 4001",Belo Horizonte,Ouro Minas Palace Hotel,Minas Gerais,Brasil,1266,3.5,4.4,3.1,4.5,4.5,#16 de 18306 restaurantes em Belo Horizonte,ourominas.com.br,@quintodoouro,+55 31 3429-4001,"Brasileira, Internacional, Italiana, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,82.00 À 750.00,416,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não
The Eat Resto,"Estação Santa Tereza R. Ten. Vitórino, 255",Minas Gerais,Belo Horizonte,Brasil,30010-280,407,4.9,4.8,Sem Avaliação,4.9,5.0,#17 de 18306 restaurantes em Belo Horizonte,facebook.com,@theeatresto,+55 31 98496-8264,"Brasileira, Opções vegetarianas",Seg: Fechado; Ter: 18:30-23:00; Qua: 18:30-23:00; Qui: 18:30-23:00; Sex: 18:30-00:00; Sáb: 12:00-16:00 18:30-00:00; Dom: 12:00-16:30,200.00 À 340.00,270,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
