Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Vila Chalezinho,"Alameda Oscar Niemeyer, 132 - loja 5",Minas Gerais,Nova Lima,Brasil,34006-049,490,3.8,4.3,Sem Avaliação,3.9,4.0,#1 de 41 restaurantes italianos em Nova Lima,vilachalezinho.com.br,@vilachalezinho,+55 31 3097-2019,"Europeia, Internacional, Contemporânea, Suíça, Opções vegetarianas",Seg: 18:30-00:00; Ter: 18:30-00:00; Qua: 18:30-00:00; Qui: 18:30-01:00; Sex: 18:30-01:00; Sáb: 18:30-01:00; Dom: Fechado,270.00,270,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
O Italiano Restaurante,"Rua São Vicente, 155",Belo Horizonte,Próximo à BR040 e BR262 - Olhos D'Água,Minas Gerais,Brasil,3308,4.0,4.6,3.4,3.8,4.0,#43 de 18306 restaurantes em Belo Horizonte,oitalianorestaurante.com.br,@oitalianorestaurante,+55 31 99767-5190,Italiana,Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 12:00-15:30 18:00-23:00; Sáb: 12:00-16:30 19:00-23:00; Dom: 11:30-16:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Outback Steakhouse,"Av. do Contorno, 6061",Shopping Pátio Savassi,Savassi,Belo Horizonte,Minas Gerais,16256,4.4,4.5,4.5,4.4,4.5,#44 de 18306 restaurantes em Belo Horizonte,outback.com.br,@outbackbrasil,+55 31 3288-3763,"Churrascarias, Australiana",Seg: 12:00-22:30; Ter: 12:00-22:30; Qua: 12:00-22:30; Qui: 12:00-22:30; Sex: 11:30-23:00; Sáb: 11:30-23:00; Dom: 12:00-22:00,140.00 À 270.00,205,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Pellegrino Restaurante,"R. Laranjal, 459",Minas Gerais,Belo Horizonte,Brasil,30310-700,1986,4.2,4.6,4.0,4.2,4.0,#45 de 18306 restaurantes em Belo Horizonte,Sem Informação,@pellegrinorestaurante,+55 31 2526-1085,Deli,Seg: Fechado; Ter: 18:30-23:00; Qua: 18:30-23:00; Qui: 18:30-23:00; Sex: 18:30-00:00; Sáb: 13:00-17:00 19:00-00:00; Dom: 12:30-17:00,68.00 À 96.00,82,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante do Porto — O PORTO DO BACALHAU,"Estação Central (Metrô de Belo Horizonte) Rua Espírito Santo, 1507",Belo Horizonte,Lourdes,Minas Gerais,Brasil,1640,4.4,4.4,4.1,5.0,4.0,#46 de 18306 restaurantes em Belo Horizonte,restaurantedoporto.com.br,@restaurante.do.porto.lourdes,+55 31 3222-7300,"Portuguesa, Frutos do mar",Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-19:00,140.00 À 270.00,205,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Est! Est!! Est!!! Ristorante Italiano,"Estação Santa Efigênia Av. Getúlio Vargas, 107",Minas Gerais,Belo Horizonte,Brasil,30112-020,5895,4.3,4.5,Sem Avaliação,4.3,4.5,#47 de 18306 restaurantes em Belo Horizonte,Sem Informação,@estcucina,+55 31 2526-5852,"Italiana, Opções vegetarianas",Seg: 11:30-15:00 18:00-23:00; Ter: 11:30-15:00 18:00-23:00; Qua: 11:30-15:00 18:00-23:00; Qui: 11:30-15:00 18:00-23:00; Sex: 11:30-15:00 18:00-00:00; Sáb: 12:00-16:00 19:00-00:00; Dom: 12:00-16:00 18:00-21:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Me gusta,"Rua Juvenal de Melo Senra, 395",Minas Gerais,Belo Horizonte,Brasil,30320-620,739,3.8,4.5,3.4,3.8,3.5,#48 de 18306 restaurantes em Belo Horizonte,Sem Informação,@megustabh,+55 31 2511-2333,"Brasileira, Opções vegetarianas",Seg: 09:00-21:00; Ter: 09:00-21:00; Qua: 09:00-21:00; Qui: 09:00-21:00; Sex: 09:00-21:00; Sáb: 09:00-21:00; Dom: 09:00-21:00,54.00 À 140.00,97,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Pleno Bistrô,"Estação Central (Metrô de Belo Horizonte) Av. Álvares Cabral, 441",Minas Gerais,Belo Horizonte,Brasil,30170-000,522,4.0,4.5,2.8,4.5,4.0,#49 de 18306 restaurantes em Belo Horizonte,facebook.com,@plenobistro,+55 31 3247-4712,"Brasileira, Contemporânea",Seg: 15:30-23:00; Ter: 15:30-23:00; Qua: 15:30-23:00; Qui: 15:30-23:00; Sex: 15:30-23:00; Sáb: 15:30-23:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Dona Dora Restaurante,"Estação Central (Metrô de Belo Horizonte) Rua Rio De Janeiro, 1186",Minas Gerais,Belo Horizonte,Brasil,30160-041,1115,3.7,4.4,2.9,4.1,4.0,#50 de 18306 restaurantes em Belo Horizonte,facebook.com,@donadorarestaurante,+55 31 3657-8685,"Brasileira, Sul Americana, Contemporânea",Seg: 11:00-15:10 17:00-23:00; Ter: 11:00-15:10 17:00-23:00; Qua: 11:00-15:10 17:00-23:00; Qui: 11:00-15:10 17:00-23:00; Sex: 11:00-15:10 17:00-23:00; Sáb: 11:00-23:00; Dom: Fechado,54.00 À 220.00,137,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Paladino,"Av. Gildo Macedo Lacerda, 300",Minas Gerais,Belo Horizonte,Brasil,31365-745,11515,4.4,4.6,4.2,4.2,4.5,#51 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurante_paladino,+55 31 3447-6604,Brasileira,Seg: Fechado; Ter: 11:30-16:00; Qua: 11:30-16:00; Qui: 11:30-16:00; Sex: 11:30-17:00; Sáb: 11:30-17:00; Dom: 11:30-17:00,140.00 À 280.00,210,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Caipira Xique Restaurante,"Rua Jose Joaquim dos Santos Bairro Ceu Azul Nº 188 Bairro Ceu Azul, Nº188",Minas Gerais,Belo Horizonte,Brasil,31550-060,5482,4.3,4.6,4.2,4.1,4.5,#52 de 18306 restaurantes em Belo Horizonte,soucaipiraxique.com.br,@caipira_xique_restaurante,+55 31 3567-9525,Brasileira,Seg: 11:30-15:00; Ter: 11:30-15:00; Qua: 11:30-15:00; Qui: 11:30-15:00; Sex: 11:30-23:30; Sáb: 11:30-23:30; Dom: 12:00-17:00,130.00 À 650.00,390,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Xico da Kafua,"Estação Gameleira Av. Itaú, 1195 João Pinheiro",Minas Gerais,Belo Horizonte,Brasil,30530-044,1605,4.2,4.3,4.0,4.6,4.0,#53 de 18306 restaurantes em Belo Horizonte,Sem Informação,@xicodakafua,+55 31 3375-2640,Brasileira,Seg: 11:30-16:00; Ter: 11:30-16:00; Qua: 11:30-16:00; Qui: 11:30-16:00; Sex: 11:30-16:00; Sáb: 11:30-22:00; Dom: 11:30-16:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Dona Derna,"R. Tomé de Souza, 1331",Minas Gerais,Belo Horizonte,Brasil,30140-131,1625,4.2,4.5,4.0,4.3,4.0,#54 de 18306 restaurantes em Belo Horizonte,Sem Informação,@donaderna,+55 31 3223-6954,Italiana,Seg: Fechado; Ter: 11:30-17:00; Qua: 11:30-17:00; Qui: 11:30-17:00; Sex: 11:30-23:30; Sáb: 11:30-17:00; Dom: 11:30-17:00,140.00 À 270.00,205,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Néctar da Serra,"Estação Central (Metrô de Belo Horizonte) R Sta Rita Durão, 929 Savassi",Minas Gerais,Belo Horizonte,Brasil,30140-111,4623,3.9,4.4,4.1,4.1,4.0,#55 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3261-2969,"Brasileira, Sul Americana, Comida Saudável, Opções vegetarianas",Seg: 09:00-22:00; Ter: 09:00-22:00; Qua: 09:00-22:00; Qui: 09:00-22:00; Sex: 09:00-22:00; Sáb: 09:00-22:00; Dom: 10:00-21:00,55.00 À 140.00,97.5,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante do Porto - Cidade Nova,"Estação Santa Inês R. Conselheiro Lafaiete, 2099",Belo Horizonte,Cidade Nova,Minas Gerais,Brasil,2978,4.3,4.6,4.2,4.1,4.0,#56 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3482-9870,Portuguesa,Seg: Fechado; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 10:30-18:00,140.00 À 270.00,205,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Il Limoncello,"Estação Santa Efigênia Rua Bernardo Guimarães, 577",Minas Gerais,Belo Horizonte,Brasil,30140-080,170,4.4,4.5,Sem Avaliação,4.6,4.0,#58 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3225-3628,"Italiana, Frutos do mar",Seg: 19:30-23:30; Ter: 19:30-23:30; Qua: 19:30-23:30; Qui: 19:30-23:30; Sex: 19:30-23:30; Sáb: 19:30-23:30; Dom: Fechado,140.00 À 270.00,205,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
Província di Salerno,"Estação Santa Efigênia Rua Maranhão, 18 Sta Efigênia",Minas Gerais,Belo Horizonte,Brasil,30150-330,3299,4.4,4.6,4.3,4.5,4.5,#59 de 18306 restaurantes em Belo Horizonte,provincia.com.br,@provinciadisalerno,+55 31 3241-2205,"Italiana, Opções vegetarianas",Seg: 12:00-15:00; Ter: 12:00-15:00 19:00-01:30; Qua: 12:00-15:00 19:00-01:30; Qui: 12:00-15:00 19:00-01:30; Sex: 12:00-15:00 19:00-01:30; Sáb: 12:00-16:00 19:00-01:30; Dom: 12:00-17:00,81.00 À 290.00,185.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Chalé da Mata Restaurante,"Av. Eng. Carlos Goulart, 1123",Belo Horizonte,Buritis,Minas Gerais,Brasil,6780,4.2,4.5,4.3,4.3,4.0,#60 de 18306 restaurantes em Belo Horizonte,chaledamata.com.br,@chaledamatarestaurante,+55 31 3378-7272,Brasileira,Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-16:00; Dom: 11:00-16:00,54.00 À 140.00,97,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Per Lui Restaurante,"R. Muzambinho, 608",Minas Gerais,Belo Horizonte,Brasil,30210-530,206,4.7,4.8,Sem Avaliação,Sem Avaliação,4.5,#61 de 18306 restaurantes em Belo Horizonte,perluibh.com.br,@lamparina.cachacaria,+55 31 98365-9397,Contemporânea,Seg: Fechado; Ter: 19:00-00:00; Qua: 19:00-00:00; Qui: 19:00-00:00; Sex: 19:00-00:00; Sáb: 19:00-00:00; Dom: Fechado,270.00,270,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Vila Árabe,"Estação Central (Metrô de Belo Horizonte) Rua Pernambuco, 781",Belo Horizonte,Savassi,Minas Gerais,Brasil,3813,4.2,4.5,4.3,4.0,4.0,#67 de 18306 restaurantes em Belo Horizonte,vilaarabe.com.br,@vilaarabe,+55 31 3262-1600,"Oriente Médio, Libanesa, Opções vegetarianas",Seg: 09:00-22:00; Ter: 09:00-22:00; Qua: 09:00-22:00; Qui: 09:00-22:00; Sex: 09:00-22:00; Sáb: 09:00-22:00; Dom: 09:00-16:00,140.00 À 270.00,205,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Pitaya,"Estação Central (Metrô de Belo Horizonte) Av. João Pinheiro, 232",Minas Gerais,Belo Horizonte,Brasil,30130-180,126,4.2,4.4,3.8,Sem Avaliação,4.5,#69 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurante.pitaya,+55 31 99105-9666,"Brasileira, Grega, Sul Americana, Sushi",Seg: 08:00-16:00; Ter: 08:00-16:00; Qua: 08:00-16:00; Qui: 08:00-16:00; Sex: 08:00-16:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
ITALIA GRILL,"Estação Carlos Prates Av. Olegário Maciel, 1669",Minas Gerais,Belo Horizonte,Brasil,30180-111,1071,3.9,4.3,3.6,4.2,3.5,#68 de 18306 restaurantes em Belo Horizonte,facebook.com,@italiagrillbh,+55 31 99134-5888,"Italiana, Internacional",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-22:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Alho e Sal Restaurante,"Estação Central (Metrô de Belo Horizonte) Av. Amazonas, 68 A",Minas Gerais,Belo Horizonte,Brasil,30180-001,358,4.3,4.2,4.0,5.0,4.0,#70 de 18306 restaurantes em Belo Horizonte,Sem Informação,@alhoesalrest,+55 31 3224-2108,"Brasileira, Sul Americana",Seg: 11:30-15:00; Ter: 11:30-15:00; Qua: 11:30-15:00; Qui: 11:30-15:00; Sex: 11:30-15:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Libertas,"Estação Vila Oeste Av. Amazonas, 050 7702",Minas Gerais,Belo Horizonte,Brasil,30510-000,37,4.7,4.6,Sem Avaliação,5.0,4.5,#72 de 18306 restaurantes em Belo Horizonte,facebook.com,@libertasrestaurante,+55 31 3307-5800,"Brasileira, Sul Americana",Seg: 12:00-14:30 18:30-22:00; Ter: 12:00-14:30 19:00-22:00; Qua: 12:00-14:30 18:30-22:00; Qui: 12:00-14:30 18:30-22:00; Sex: 12:00-14:30 18:30-22:00; Sáb: 12:00-14:30 18:30-22:00; Dom: 12:00-14:30 18:00-22:00,54.00 À 140.00,97,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Italiano Maurizio Gallo,"Estação Carlos Prates R. dos Aimorés, 2305",Minas Gerais,Belo Horizonte,Brasil,30140-072,2345,3.8,4.4,3.6,4.0,4.5,#73 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurantemauriziogallo,+55 31 2514-3020,"Italiana, Opções vegetarianas",Seg: 11:00-17:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-17:00,71.00 À 100.00,85.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Restaurante Ninita,"Estação Central (Metrô de Belo Horizonte) R. Bárbara Heliodora, 71",Minas Gerais,Belo Horizonte,Brasil,30180-130,1194,4.4,4.6,4.5,Sem Avaliação,4.0,#74 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3292-4237,Italiana,Seg: 18:00-22:00; Ter: 12:00-17:00 18:00-23:00; Qua: 12:00-17:00 18:00-23:00; Qui: 12:00-17:00 18:00-23:00; Sex: 12:00-17:00 18:00-23:00; Sáb: 12:00-17:00 18:00-23:00; Dom: 12:00-17:00,280.00,280,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
Restaurante do Ano,"Rua Levindo Lopes, 158",Minas Gerais,Belo Horizonte,Brasil,30140-170,745,3.5,4.2,3.6,Sem Avaliação,3.5,#75 de 18306 restaurantes em Belo Horizonte,restaurante2010.blogspot.com,@restaurante_do_ano,+55 31 3327-6766,"Brasileira, Sul Americana, Contemporânea, Opções vegetarianas",Seg: 12:00-16:00; Ter: 12:00-16:00; Qua: 12:00-16:00; Qui: 12:00-16:00; Sex: 12:00-16:00; Sáb: 12:00-16:00; Dom: 12:00-16:00,72.00 À 100.00,86,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Fratelli D'Italia (Pelusinho),"Estação Santa Efigênia Av. Bernardo Monteiro, 999 A",Minas Gerais,Belo Horizonte,Brasil,30150-281,302,4.5,4.6,3.7,5.0,4.5,#76 de 18306 restaurantes em Belo Horizonte,Sem Informação,@fratelliditalia.ristorante,+55 31 3241-5227,"Italiana, Opções vegetarianas",Seg: 10:30-15:00; Ter: 10:30-15:00; Qua: 10:30-15:00; Qui: 10:30-15:00; Sex: 10:30-15:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Chen Chang Kee Noodle House - Galeria BH,"Estação Lagoinha R. Curitiba, 130",Minas Gerais,Belo Horizonte,Brasil,30170-120,950,4.7,4.7,4.2,5.0,5.0,#77 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 97534-7710,"Chinês, Noodles",Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,55.00,55,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Amadís Fleming Restaurante e Bar,"Av. Fleming, 480",Minas Gerais,Belo Horizonte,Brasil,31310-490,3650,4.0,4.5,3.8,3.9,4.0,#78 de 18306 restaurantes em Belo Horizonte,facebook.com,@amadisbar,+55 31 3309-3773,Bar de Coquetéis,Seg: Fechado; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-22:00,170.00,170,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Ah! Bon,"R. Fernandes Tourinho, 805",Minas Gerais,Belo Horizonte,Brasil,30112-000,536,3.8,4.3,3.5,Sem Avaliação,4.0,#79 de 18306 restaurantes em Belo Horizonte,ahbon.com.br,@specialitrattoria,+55 31 3281-6260,"Francesa, Italiana, Bar de Vinhos, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-23:00,140.00 À 280.00,210,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Mineiros Beer,"Rua Romualdo Lopes Cançado, 399",Minas Gerais,Belo Horizonte,Brasil,30840-460,3123,3.6,4.4,3.4,3.7,3.0,#80 de 18306 restaurantes em Belo Horizonte,facebook.com,@mineirosbeer,+55 31 98415-5175,Brasileira,Seg: 11:00-15:00; Ter: 11:00-15:00 18:00-00:00; Qua: 11:00-15:00 18:00-00:00; Qui: 11:00-15:00 18:00-00:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-15:00 18:00-00:00; Dom: 11:00-15:00,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante e Pizzaria Tia Penha,"Estação José Cândido da Silveira Av. Contagem, 1.76 Santa Inês",Minas Gerais,Belo Horizonte,Brasil,000,9355,4.0,4.5,3.6,4.0,4.0,#81 de 18306 restaurantes em Belo Horizonte,pizzariatiapenha.com.br,@pizzariatiapenha,+55 31 3485-2083,Pizza,Seg: 11:00-15:00 18:00-23:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-23:00,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Tia Zarica,"Estação Central (Metrô de Belo Horizonte) R. Pouso Alegre, 919",Minas Gerais,Belo Horizonte,Brasil,31015-215,1456,4.0,4.5,3.2,4.5,4.0,#11 de 3071 cafeterias em Belo Horizonte,tiazarica.com.br,@tiazarica,+55 31 3444-5173,"Brasileira, Europeia, Sul Americana, Opções vegetarianas",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: 11:00-14:30; Dom: 11:00-14:30,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Verdinho Restaurante,"Av. Cônsul Antônio Cadar, 122",Minas Gerais,Belo Horizonte,Brasil,30360-000,3359,4.0,4.4,4.2,4.2,4.0,#83 de 18306 restaurantes em Belo Horizonte,Sem Informação,@verdinhobh,+55 31 3293-4047,"Japonesa, Brasileira, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:30; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-22:30,55.00 À 140.00,97.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Kinoko Restaurante,"R. José Rodrigues Pereira, 1274",Minas Gerais,Belo Horizonte,Brasil,30455-640,1525,3.4,4.3,2.5,Sem Avaliação,3.5,#84 de 18306 restaurantes em Belo Horizonte,Sem Informação,@kinokorestaurante,+55 31 2535-2550,"Japonesa, Chinês, Sushi",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 12:00-14:30 18:00-23:00; Sáb: 12:00-14:30 18:00-23:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Inka Peruano e Japonês,"Rua Guaicuí, 533 Luxemburgo",Minas Gerais,Belo Horizonte,Brasil,30380-342,1627,4.2,4.4,4.0,4.3,4.0,#85 de 18306 restaurantes em Belo Horizonte,facebook.com,@inkaperuano,+55 31 3293-1461,"Japonesa, Peruana, Sushi, Frutos do mar",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 12:00-00:00; Dom: 12:00-00:00,72.00 À 100.00,86,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Dragon Center,"R. Fernandes Tourinho, 455",Minas Gerais,Belo Horizonte,Brasil,30112-000,2648,4.0,4.5,Sem Avaliação,4.6,4.0,#87 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3287-3688,Chinês,Seg: Fechado; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00 18:30-22:30; Sáb: 11:00-16:00 18:30-22:30; Dom: 11:00-17:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar & Restaurante Pompéu,"R. São Miguel, 779",Minas Gerais,Belo Horizonte,Brasil,31710-750,7945,4.1,4.5,4.0,3.8,4.0,#89 de 18306 restaurantes em Belo Horizonte,facebook.com,@barpompeu,+55 31 3443-5760,"Brasileira, Sul Americana, Grelhada",Seg: 11:00-01:00; Ter: 11:00-01:00; Qua: 11:00-01:00; Qui: 11:00-01:00; Sex: 11:00-01:00; Sáb: 11:00-01:00; Dom: 11:00-00:00,54.00 À 140.00,97,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
"Restaurante E Pizzaria Guarujá - Belo Horizonte, MG","Estação Calafate Av. Amazonas, 4688 - Nova Suíssa",Minas Gerais,Belo Horizonte,Brasil,30480-000,1019,4.2,4.4,3.6,4.7,4.0,#92 de 18306 restaurantes em Belo Horizonte,vitrinevirtual.net,@restaurantepizzariaguaruja,+55 31 97182-2767,Pizza,Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-00:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Ochi Sushi - Restaurante Japonês,"Av. Fleming 900 Dentro da Vila Rica - Ao lado do Shopping Fleming, Belo Horizonte",Brasil,Minas Gerais,31310-490,Sem Informação,645,4.1,4.3,3.7,4.3,4.0,#95 de 18306 restaurantes em Belo Horizonte,facebook.com,@ochisushi,+55 31 2526-9950,"Japonesa, Sushi",Seg: Fechado; Ter: 19:00-22:00; Qua: 19:00-22:00; Qui: 19:00-22:00; Sex: 19:00-23:00; Sáb: 12:00-16:30 19:00-23:00; Dom: 12:00-17:00,140.00 À 280.00,210,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante do Divino,"Estação Central (Metrô de Belo Horizonte) R. Itajubá, 323",Minas Gerais,Belo Horizonte,Brasil,30150-380,964,4.5,4.7,4.0,5.0,4.5,#96 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantedodivino,+55 31 3444-5066,Brasileira,Seg: 11:00-15:30; Ter: 11:00-15:30; Qua: 11:00-15:30; Qui: 11:00-15:30; Sex: 11:00-15:30; Sáb: 11:00-15:30; Dom: Fechado,54.00,54,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
RESTAURANTE TILAPIA GRILL,"R. Antônio de Albuquerque, n° 51",Minas Gerais,Belo Horizonte,Brasil,30112-010,327,4.8,4.5,Sem Avaliação,Sem Avaliação,5.0,#97 de 18306 restaurantes em Belo Horizonte,Sem Informação,@tilapiagrill6,+55 31 3016-8262,"Brasileira, Sul Americana, Churrasco, Frutos do mar",Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-18:00,130.00 À 670.00,400,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Japones Belo Horizonte Sushi Gami,"R. do Arvoredo, 185",Minas Gerais,Belo Horizonte,Brasil,31555-080,1339,4.3,4.1,Sem Avaliação,4.3,4.5,#98 de 18306 restaurantes em Belo Horizonte,Sem Informação,@sushigami806,+55 31 3318-0833,"Sushi, Japonesa",Seg: 18:30-23:30; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,54.00 À 140.00,97,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
